Time,TotalEnergy
0.01,-1.28606e+07
0.02,-1.28604e+07
0.03,-1.28602e+07
0.04,-1.286e+07
0.05,-1.28598e+07
0.06,-1.28596e+07
0.07,-1.28594e+07
0.08,-1.28591e+07
0.09,-1.28589e+07
0.1,-1.28587e+07
0.11,-1.28584e+07
0.12,-1.28581e+07
0.13,-1.28578e+07
0.14,-1.28575e+07
0.15,-1.28572e+07
0.16,-1.28569e+07
0.17,-1.28565e+07
0.18,-1.28561e+07
0.19,-1.28558e+07
0.2,-1.28553e+07
0.21,-1.28549e+07
0.22,-1.28544e+07
0.23,-1.28539e+07
0.24,-1.28534e+07
0.25,-1.28529e+07
0.26,-1.28523e+07
0.27,-1.28517e+07
0.28,-1.28511e+07
0.29,-1.28505e+07
0.3,-1.28498e+07
0.31,-1.28491e+07
0.32,-1.28483e+07
0.33,-1.28475e+07
0.34,-1.28467e+07
0.35,-1.28459e+07
0.36,-1.2845e+07
0.37,-1.28441e+07
0.38,-1.28432e+07
0.39,-1.28423e+07
0.4,-1.28413e+07
0.41,-1.28403e+07
0.42,-1.28393e+07
0.43,-1.28382e+07
0.44,-1.28372e+07
0.45,-1.28361e+07
0.46,-1.2835e+07
0.47,-1.28338e+07
0.48,-1.28327e+07
0.49,-1.28316e+07
0.5,-1.28304e+07
0.51,-1.28293e+07
0.52,-1.28281e+07
0.53,-1.28269e+07
0.54,-1.28258e+07
0.55,-1.28246e+07
0.56,-1.28234e+07
0.57,-1.28223e+07
0.58,-1.28212e+07
0.59,-1.282e+07
0.6,-1.28189e+07
0.61,-1.28178e+07
0.62,-1.28168e+07
0.63,-1.28157e+07
0.64,-1.28147e+07
0.65,-1.28137e+07
0.66,-1.28127e+07
0.67,-1.28118e+07
0.68,-1.28108e+07
0.69,-1.281e+07
0.7,-1.28091e+07
0.71,-1.28083e+07
0.72,-1.28074e+07
0.73,-1.28067e+07
0.74,-1.28059e+07
0.75,-1.28052e+07
0.76,-1.28045e+07
0.77,-1.28039e+07
0.78,-1.28032e+07
0.79,-1.28026e+07
0.8,-1.28021e+07
0.81,-1.28015e+07
0.82,-1.2801e+07
0.83,-1.28005e+07
0.84,-1.28001e+07
0.85,-1.27996e+07
0.86,-1.27992e+07
0.87,-1.27988e+07
0.88,-1.27984e+07
0.89,-1.27981e+07
0.9,-1.27978e+07
0.91,-1.27974e+07
0.92,-1.27971e+07
0.93,-1.27968e+07
0.94,-1.27966e+07
0.95,-1.27963e+07
0.96,-1.27961e+07
0.97,-1.27958e+07
0.98,-1.27956e+07
0.99,-1.27954e+07
1,-1.27952e+07
1.01,-1.2795e+07
1.02,-1.27948e+07
1.03,-1.27946e+07
1.04,-1.27944e+07
1.05,-1.27942e+07
1.06,-1.2794e+07
1.07,-1.27938e+07
1.08,-1.27936e+07
1.09,-1.27934e+07
1.1,-1.27932e+07
1.11,-1.2793e+07
1.12,-1.27928e+07
1.13,-1.27926e+07
1.14,-1.27924e+07
1.15,-1.27921e+07
1.16,-1.27919e+07
1.17,-1.27916e+07
1.18,-1.27914e+07
1.19,-1.27911e+07
1.2,-1.27908e+07
1.21,-1.27904e+07
1.22,-1.27901e+07
1.23,-1.27897e+07
1.24,-1.27893e+07
1.25,-1.27889e+07
1.26,-1.27885e+07
1.27,-1.2788e+07
1.28,-1.27876e+07
1.29,-1.27871e+07
1.3,-1.27865e+07
1.31,-1.2786e+07
1.32,-1.27854e+07
1.33,-1.27848e+07
1.34,-1.27841e+07
1.35,-1.27834e+07
1.36,-1.27827e+07
1.37,-1.2782e+07
1.38,-1.27812e+07
1.39,-1.27804e+07
1.4,-1.27795e+07
1.41,-1.27787e+07
1.42,-1.27778e+07
1.43,-1.27768e+07
1.44,-1.27759e+07
1.45,-1.27749e+07
1.46,-1.27739e+07
1.47,-1.27728e+07
1.48,-1.27717e+07
1.49,-1.27706e+07
1.5,-1.27695e+07
1.51,-1.27684e+07
1.52,-1.27672e+07
1.53,-1.2766e+07
1.54,-1.27648e+07
1.55,-1.27636e+07
1.56,-1.27624e+07
1.57,-1.27612e+07
1.58,-1.276e+07
1.59,-1.27588e+07
1.6,-1.27576e+07
1.61,-1.27564e+07
1.62,-1.27552e+07
1.63,-1.2754e+07
1.64,-1.27528e+07
1.65,-1.27516e+07
1.66,-1.27505e+07
1.67,-1.27494e+07
1.68,-1.27483e+07
1.69,-1.27472e+07
1.7,-1.27461e+07
1.71,-1.27451e+07
1.72,-1.27441e+07
1.73,-1.27431e+07
1.74,-1.27422e+07
1.75,-1.27413e+07
1.76,-1.27404e+07
1.77,-1.27396e+07
1.78,-1.27387e+07
1.79,-1.2738e+07
1.8,-1.27372e+07
1.81,-1.27365e+07
1.82,-1.27358e+07
1.83,-1.27352e+07
1.84,-1.27345e+07
1.85,-1.27339e+07
1.86,-1.27334e+07
1.87,-1.27328e+07
1.88,-1.27323e+07
1.89,-1.27318e+07
1.9,-1.27314e+07
1.91,-1.2731e+07
1.92,-1.27305e+07
1.93,-1.27302e+07
1.94,-1.27298e+07
1.95,-1.27294e+07
1.96,-1.27291e+07
1.97,-1.27288e+07
1.98,-1.27285e+07
1.99,-1.27282e+07
2,-1.2728e+07
2.01,-1.27277e+07
2.02,-1.27275e+07
2.03,-1.27272e+07
2.04,-1.2727e+07
2.05,-1.27268e+07
2.06,-1.27266e+07
2.07,-1.27264e+07
2.08,-1.27262e+07
2.09,-1.2726e+07
2.1,-1.27258e+07
2.11,-1.27256e+07
2.12,-1.27255e+07
2.13,-1.27253e+07
2.14,-1.27251e+07
2.15,-1.27249e+07
2.16,-1.27247e+07
2.17,-1.27245e+07
2.18,-1.27243e+07
2.19,-1.27241e+07
