Time,TotalEnergy
0.01,-1.28608e+07
0.02,-1.28608e+07
0.03,-1.28608e+07
0.04,-1.28608e+07
0.05,-1.28608e+07
0.06,-1.28608e+07
0.07,-1.28608e+07
0.08,-1.28608e+07
0.09,-1.28608e+07
0.1,-1.28608e+07
0.11,-1.28608e+07
0.12,-1.28608e+07
0.13,-1.28608e+07
0.14,-1.28608e+07
0.15,-1.28608e+07
0.16,-1.28608e+07
0.17,-1.28608e+07
0.18,-1.28608e+07
0.19,-1.28608e+07
0.2,-1.28608e+07
0.21,-1.28608e+07
0.22,-1.28608e+07
0.23,-1.28608e+07
0.24,-1.28608e+07
0.25,-1.28608e+07
0.26,-1.28608e+07
0.27,-1.28608e+07
0.28,-1.28608e+07
0.29,-1.28608e+07
0.3,-1.28608e+07
0.31,-1.28608e+07
0.32,-1.28608e+07
0.33,-1.28608e+07
0.34,-1.28608e+07
0.35,-1.28608e+07
0.36,-1.28608e+07
0.37,-1.28608e+07
0.38,-1.28608e+07
0.39,-1.28608e+07
0.4,-1.28608e+07
0.41,-1.28608e+07
0.42,-1.28608e+07
0.43,-1.28608e+07
0.44,-1.28608e+07
0.45,-1.28608e+07
0.46,-1.28608e+07
0.47,-1.28608e+07
0.48,-1.28608e+07
0.49,-1.28608e+07
0.5,-1.28608e+07
0.51,-1.28608e+07
0.52,-1.28608e+07
0.53,-1.28608e+07
0.54,-1.28608e+07
0.55,-1.28608e+07
0.56,-1.28608e+07
0.57,-1.28608e+07
0.58,-1.28608e+07
0.59,-1.28608e+07
0.6,-1.28608e+07
0.61,-1.28608e+07
0.62,-1.28608e+07
0.63,-1.28608e+07
0.64,-1.28608e+07
0.65,-1.28608e+07
0.66,-1.28608e+07
0.67,-1.28608e+07
0.68,-1.28608e+07
0.69,-1.28608e+07
0.7,-1.28608e+07
0.71,-1.28608e+07
0.72,-1.28608e+07
0.73,-1.28608e+07
0.74,-1.28608e+07
0.75,-1.28608e+07
0.76,-1.28608e+07
0.77,-1.28608e+07
0.78,-1.28608e+07
0.79,-1.28608e+07
0.8,-1.28608e+07
0.81,-1.28608e+07
0.82,-1.28608e+07
0.83,-1.28608e+07
0.84,-1.28608e+07
0.85,-1.28608e+07
0.86,-1.28608e+07
0.87,-1.28608e+07
0.88,-1.28608e+07
0.89,-1.28608e+07
0.9,-1.28608e+07
0.91,-1.28608e+07
0.92,-1.28608e+07
0.93,-1.28608e+07
0.94,-1.28608e+07
0.95,-1.28608e+07
0.96,-1.28608e+07
0.97,-1.28608e+07
0.98,-1.28608e+07
0.99,-1.28608e+07
1,-1.28608e+07
1.01,-1.28608e+07
1.02,-1.28608e+07
1.03,-1.28608e+07
1.04,-1.28608e+07
1.05,-1.28608e+07
1.06,-1.28608e+07
1.07,-1.28608e+07
1.08,-1.28608e+07
1.09,-1.28608e+07
1.1,-1.28608e+07
1.11,-1.28608e+07
1.12,-1.28608e+07
1.13,-1.28608e+07
1.14,-1.28608e+07
1.15,-1.28608e+07
1.16,-1.28608e+07
1.17,-1.28608e+07
1.18,-1.28608e+07
1.19,-1.28608e+07
1.2,-1.28608e+07
1.21,-1.28608e+07
1.22,-1.28608e+07
1.23,-1.28608e+07
1.24,-1.28608e+07
1.25,-1.28608e+07
1.26,-1.28608e+07
1.27,-1.28608e+07
1.28,-1.28608e+07
1.29,-1.28608e+07
1.3,-1.28608e+07
1.31,-1.28608e+07
1.32,-1.28608e+07
1.33,-1.28608e+07
1.34,-1.28608e+07
1.35,-1.28608e+07
1.36,-1.28608e+07
1.37,-1.28608e+07
1.38,-1.28608e+07
1.39,-1.28608e+07
1.4,-1.28608e+07
1.41,-1.28608e+07
1.42,-1.28608e+07
1.43,-1.28608e+07
1.44,-1.28608e+07
1.45,-1.28608e+07
1.46,-1.28608e+07
1.47,-1.28608e+07
1.48,-1.28608e+07
1.49,-1.28608e+07
1.5,-1.28608e+07
1.51,-1.28608e+07
1.52,-1.28608e+07
1.53,-1.28608e+07
1.54,-1.28608e+07
1.55,-1.28608e+07
1.56,-1.28608e+07
1.57,-1.28608e+07
1.58,-1.28608e+07
1.59,-1.28608e+07
1.6,-1.28608e+07
1.61,-1.28608e+07
1.62,-1.28608e+07
1.63,-1.28608e+07
1.64,-1.28608e+07
1.65,-1.28608e+07
1.66,-1.28608e+07
1.67,-1.28608e+07
1.68,-1.28608e+07
1.69,-1.28608e+07
1.7,-1.28608e+07
1.71,-1.28608e+07
1.72,-1.28608e+07
1.73,-1.28608e+07
1.74,-1.28608e+07
1.75,-1.28608e+07
1.76,-1.28608e+07
1.77,-1.28608e+07
1.78,-1.28608e+07
1.79,-1.28608e+07
1.8,-1.28608e+07
1.81,-1.28608e+07
1.82,-1.28608e+07
1.83,-1.28608e+07
1.84,-1.28608e+07
1.85,-1.28608e+07
1.86,-1.28608e+07
1.87,-1.28608e+07
1.88,-1.28608e+07
1.89,-1.28608e+07
1.9,-1.28608e+07
1.91,-1.28608e+07
1.92,-1.28608e+07
1.93,-1.28608e+07
1.94,-1.28608e+07
1.95,-1.28608e+07
1.96,-1.28608e+07
1.97,-1.28608e+07
1.98,-1.28608e+07
1.99,-1.28608e+07
2,-1.28608e+07
2.01,-1.28608e+07
2.02,-1.28608e+07
2.03,-1.28608e+07
2.04,-1.28608e+07
2.05,-1.28608e+07
2.06,-1.28608e+07
2.07,-1.28608e+07
2.08,-1.28608e+07
2.09,-1.28608e+07
2.1,-1.28608e+07
2.11,-1.28608e+07
2.12,-1.28608e+07
2.13,-1.28608e+07
2.14,-1.28608e+07
2.15,-1.28608e+07
2.16,-1.28608e+07
2.17,-1.28608e+07
2.18,-1.28608e+07
2.19,-1.28608e+07
2.2,-1.28608e+07
2.21,-1.28608e+07
2.22,-1.28608e+07
2.23,-1.28608e+07
2.24,-1.28608e+07
2.25,-1.28608e+07
2.26,-1.28608e+07
2.27,-1.28608e+07
2.28,-1.28608e+07
2.29,-1.28608e+07
2.3,-1.28608e+07
2.31,-1.28608e+07
2.32,-1.28608e+07
2.33,-1.28608e+07
2.34,-1.28608e+07
2.35,-1.28608e+07
2.36,-1.28608e+07
2.37,-1.28608e+07
2.38,-1.28608e+07
2.39,-1.28608e+07
2.4,-1.28608e+07
2.41,-1.28608e+07
2.42,-1.28608e+07
2.43,-1.28608e+07
2.44,-1.28608e+07
2.45,-1.28608e+07
2.46,-1.28608e+07
2.47,-1.28608e+07
2.48,-1.28608e+07
2.49,-1.28608e+07
2.5,-1.28608e+07
2.51,-1.28608e+07
2.52,-1.28608e+07
2.53,-1.28608e+07
2.54,-1.28608e+07
2.55,-1.28608e+07
2.56,-1.28608e+07
2.57,-1.28608e+07
2.58,-1.28608e+07
2.59,-1.28608e+07
2.6,-1.28608e+07
2.61,-1.28608e+07
2.62,-1.28608e+07
2.63,-1.28608e+07
2.64,-1.28608e+07
2.65,-1.28608e+07
2.66,-1.28608e+07
2.67,-1.28608e+07
2.68,-1.28608e+07
2.69,-1.28608e+07
2.7,-1.28608e+07
2.71,-1.28608e+07
2.72,-1.28608e+07
2.73,-1.28608e+07
2.74,-1.28608e+07
2.75,-1.28608e+07
2.76,-1.28608e+07
2.77,-1.28608e+07
2.78,-1.28608e+07
2.79,-1.28608e+07
2.8,-1.28608e+07
2.81,-1.28608e+07
2.82,-1.28608e+07
2.83,-1.28608e+07
2.84,-1.28608e+07
2.85,-1.28608e+07
2.86,-1.28608e+07
2.87,-1.28608e+07
2.88,-1.28608e+07
2.89,-1.28608e+07
2.9,-1.28608e+07
2.91,-1.28608e+07
2.92,-1.28608e+07
2.93,-1.28608e+07
2.94,-1.28608e+07
2.95,-1.28608e+07
2.96,-1.28608e+07
2.97,-1.28608e+07
2.98,-1.28608e+07
2.99,-1.28608e+07
3,-1.28608e+07
3.01,-1.28608e+07
3.02,-1.28608e+07
3.03,-1.28608e+07
3.04,-1.28608e+07
3.05,-1.28608e+07
3.06,-1.28608e+07
3.07,-1.28608e+07
3.08,-1.28608e+07
3.09,-1.28608e+07
3.1,-1.28608e+07
